airport,latit,longit,code,value
Abilene Regional Airport,32.41132,-99.6819,ABI,94.88721805
Abraham Lincoln Capital Airport,39.84395,-89.67762,SPI,103.0936455
Adak Airport,51.87796,-176.64603,ADK,45.13043478
Akron-Canton Regional Airport,40.91631,-81.44247,CAK,75.45741325
Albany International Airport,42.74812,-73.80298,ALB,71.69765258
Albert J. Ellis Airport,34.82916,-77.61214,OAJ,76.56565657
Albuquerque International Sunport,35.04022,-106.60919,ABQ,54.32567917
Alexandria International Airport,31.32737,-92.54856,AEX,77.9403794
Appleton International Airport,44.25741,-88.51948,ATW,76.95409182
Arcata Airport,40.97812,-124.10862,ACV,77.34575087
Asheville Regional Airport,35.43619,-82.54181,AVL,75.6468144
Aspen-Pitkin County Airport,39.22316,-106.86885,ASE,68.01382887
Atlantic City International Airport,39.45758,-74.57717,ACY,174.4545455
Augusta Regional Airport,33.36996,-81.9645,AGS,75.75225225
Austin-Bergstrom International Airport,30.19453,-97.66987,AUS,59.02279863
Baltimore-Washington International Airport,39.1754,-76.6682,BWI,60.77209906
Bangor International Airport,44.80744,-68.82814,BGR,82.99082569
Baton Rouge Metropolitan Airport,30.53316,-91.14963,BTR,74.2424594
Bellingham International Airport,48.79275,-122.53753,BLI,69.5
Bemidji Regional Airport,47.50942,-94.93372,BJI,71.33333333
Bert Mooney Airport,45.9548,-112.49746,BTM,57.45454545
Bethel Airport,60.77978,-161.838,BET,48.71497585
Bill and Hillary Clinton National Airport,34.7294,-92.22425,LIT,67.96402375
Billings Logan International Airport,45.80766,-108.54286,BIL,62.7751938
Birmingham-Shuttlesworth International Airport,33.56294,-86.75355,BHM,65.09612443
Bishop International Airport,42.9655,-83.74346,FNT,68.45751634
Bismarck Municipal Airport,46.77411,-100.74672,BIS,57.60616438
Blue Grass Airport,38.03697,-84.60539,LEX,82.24262295
Bob Hope Airport,34.20062,-118.3585,BUR,53.77039848
Boise Airport,43.56444,-116.22278,BOI,64.80017264
Bozeman Yellowstone International Airport,45.7769,-111.15301,BZN,70.92880259
Bradley International Airport,41.93887,-72.68323,BDL,70.51016548
Brainerd Lakes Regional Airport,46.39786,-94.13723,BRD,69.52777778
