airline,mindelay,flights,avgdelay
AirTran,2988435,46991,63.59590134
Alaska Airlines,1360497,24012,56.65904548
Aloha Airlines,14565,340,42.83823529
American Airlines,8696884,132257,65.75745707
American Eagle Airlines,6186339,97555,63.41385885
Atlantic Southeast,3775446,56781,66.49136155
Comair,2616726,39292,66.5969154
Continental Airlines,3977547,58958,67.46407612
Delta Airlines,4396065,72252,60.84350606
Endeavor Air,2356828,35630,66.14729161
ExpressJet,5054931,72008,70.19957505
Frontier Airlines,721346,15940,45.25382685
Hawaiian Airlines,233327,4325,53.94843931
JetBlue Airways,3005261,38232,78.60590605
Mesa Airlines,3600899,50646,71.09937606
Northwest Airlines,3356289,54744,61.30880096
Skywest Airlines,5763819,88991,64.76856087
Southwest Airlines,10716672,203559,52.64651526
United Airlines,6634029,95465,69.49174043
US Airways,3498776,59508,58.79505277
