day,value
2008-01-01,5772
2008-01-02,7632
2008-01-03,5710
2008-01-04,4449
2008-01-05,4842
2008-01-06,5410
2008-01-07,3713
2008-01-08,3629
2008-01-09,2311
2008-01-10,3242
2008-01-11,3342
2008-01-12,1141
2008-01-13,2518
2008-01-14,2431
2008-01-15,1995
2008-01-16,1671
2008-01-17,5397
2008-01-18,4558
2008-01-19,2746
2008-01-20,2599
2008-01-21,5793
2008-01-22,5041
2008-01-23,3668
2008-01-24,3550
2008-01-25,4359
2008-01-26,2417
2008-01-27,4952
2008-01-28,3682
2008-01-29,3339
2008-01-30,2907
2008-01-31,5728
2008-02-01,6756
2008-02-02,2459
2008-02-03,3913
2008-02-04,5638
2008-02-05,4706
2008-02-06,4490
2008-02-07,3974
2008-02-08,4292
2008-02-09,1721
2008-02-10,4261
2008-02-11,3914
2008-02-12,5522
2008-02-13,5850
2008-02-14,4629
2008-02-15,4721
2008-02-16,2880
2008-02-17,4668
2008-02-18,5965
2008-02-19,3853
2008-02-20,3713
2008-02-21,5448
2008-02-22,7635
2008-02-23,3645
2008-02-24,4091
2008-02-25,3822
2008-02-26,5890
2008-02-27,3044
2008-02-28,2459
2008-02-29,4547
2008-03-01,2411
2008-03-02,3643
2008-03-03,4537
2008-03-04,4473
2008-03-05,3809
2008-03-06,3167
2008-03-07,6870
2008-03-08,5644
2008-03-09,5203
2008-03-10,3838
2008-03-11,2367
2008-03-12,2953
2008-03-13,2895
2008-03-14,4470
2008-03-15,4806
2008-03-16,4482
2008-03-17,4068
2008-03-18,4648
2008-03-19,6902
2008-03-20,5101
2008-03-21,4924
2008-03-22,3165
2008-03-23,2520
2008-03-24,2685
2008-03-25,3786
2008-03-26,2523
2008-03-27,4101
2008-03-28,4988
2008-03-29,2747
2008-03-30,5676
2008-03-31,7362
2008-04-01,5089
2008-04-02,2651
2008-04-03,4262
2008-04-04,7452
2008-04-05,3223
2008-04-06,4682
2008-04-07,3251
2008-04-08,2653
2008-04-09,3400
2008-04-10,5985
2008-04-11,5383
2008-04-12,2954
2008-04-13,2961
2008-04-14,2294
2008-04-15,1831
2008-04-16,2060
2008-04-17,2123
2008-04-18,2914
2008-04-19,1876
2008-04-20,3325
2008-04-21,2505
2008-04-22,1849
2008-04-23,2442
2008-04-24,2683
2008-04-25,3942
2008-04-26,2419
2008-04-27,2622
2008-04-28,4576
2008-04-29,2188
2008-04-30,1857
2008-05-01,2756
2008-05-02,6449
2008-05-03,2264
2008-05-04,2308
2008-05-05,2804
2008-05-06,2228
2008-05-07,3667
2008-05-08,2788
2008-05-09,3686
2008-05-10,1810
2008-05-11,3592
2008-05-12,3956
2008-05-13,2405
2008-05-14,3519
2008-05-15,3276
2008-05-16,4434
2008-05-17,1433
2008-05-18,2685
2008-05-19,2936
2008-05-20,3473
2008-05-21,2709
2008-05-22,5242
2008-05-23,4382
2008-05-24,1959
2008-05-25, 995
2008-05-26,2026
2008-05-27,3710
2008-05-28,2406
2008-05-29,2114
2008-05-30,3533
2008-05-31,3040
2008-06-01,3042
2008-06-02,1977
2008-06-03,3824
2008-06-04,5785
2008-06-05,5556
2008-06-06,5182
2008-06-07,3200
2008-06-08,4858
2008-06-09,5682
2008-06-10,4654
2008-06-11,4188
2008-06-12,4382
2008-06-13,5801
2008-06-14,3516
2008-06-15,5162
2008-06-16,5370
2008-06-17,4103
2008-06-18,3324
2008-06-19,5147
2008-06-20,4054
2008-06-21,3465
2008-06-22,5514
2008-06-23,5617
2008-06-24,3705
2008-06-25,4189
2008-06-26,5983
2008-06-27,5964
2008-06-28,3997
2008-06-29,5542
2008-06-30,3521
2008-07-01,2403
2008-07-02,3449
2008-07-03,2883
2008-07-04,1156
2008-07-05,2089
2008-07-06,4808
2008-07-07,6022
2008-07-08,5564
2008-07-09,4536
2008-07-10,4344
2008-07-11,3828
2008-07-12,3722
2008-07-13,5403
2008-07-14,4358
2008-07-15,2932
2008-07-16,2591
2008-07-17,3179
2008-07-18,3735
2008-07-19,3141
2008-07-20,4170
2008-07-21,3796
2008-07-22,3935
2008-07-23,4663
2008-07-24,5561
2008-07-25,3939
2008-07-26,2744
2008-07-27,4703
2008-07-28,3737
2008-07-29,3007
2008-07-30,3511
2008-07-31,5224
2008-08-01,4428
2008-08-02,3992
2008-08-03,3691
2008-08-04,4582
2008-08-05,4282
2008-08-06,3350
2008-08-07,5104
2008-08-08,3971
2008-08-09,2856
2008-08-10,4103
2008-08-11,4397
2008-08-12,3045
2008-08-13,2458
2008-08-14,3636
2008-08-15,5557
2008-08-16,3389
2008-08-17,2747
2008-08-18,2867
2008-08-19,1979
2008-08-20,3450
2008-08-21,3313
2008-08-22,2960
2008-08-23,1835
2008-08-24,2383
2008-08-25,3155
2008-08-26,3192
2008-08-27,1983
2008-08-28,2387
2008-08-29,3151
2008-08-30,1319
2008-08-31, 838
2008-09-01,1295
2008-09-02,1451
2008-09-03,1160
2008-09-04,1907
2008-09-05,1527
2008-09-06,1331
2008-09-07,1551
2008-09-08,2805
2008-09-09,2870
2008-09-10,1389
2008-09-11,2128
2008-09-12,3825
2008-09-13,1883
2008-09-14,3018
2008-09-15,2386
2008-09-16,1409
2008-09-17,1292
2008-09-18,1605
